location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-03-09,0,0,0,2020-08-09,lanl
Albania,2020-03-09,0,0,0,2020-08-09,lanl
Algeria,2020-03-09,0,0,0,2020-08-09,lanl
Andorra,2020-03-09,0,0,0,2020-08-09,lanl
Angola,2020-03-09,0,0,0,2020-08-09,lanl
Argentina,2020-03-09,1,1,1,2020-08-09,lanl
Armenia,2020-03-09,0,0,0,2020-08-09,lanl
Australia,2020-03-09,3,3,3,2020-08-09,lanl
Austria,2020-03-09,0,0,0,2020-08-09,lanl
Azerbaijan,2020-03-09,0,0,0,2020-08-09,lanl
Bahrain,2020-03-09,0,0,0,2020-08-09,lanl
Bangladesh,2020-03-09,0,0,0,2020-08-09,lanl
Belarus,2020-03-09,0,0,0,2020-08-09,lanl
Belgium,2020-03-09,0,0,0,2020-08-09,lanl
Benin,2020-03-09,0,0,0,2020-08-09,lanl
Bolivia,2020-03-09,0,0,0,2020-08-09,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-08-09,lanl
Brazil,2020-03-09,0,0,0,2020-08-09,lanl
Bulgaria,2020-03-09,0,0,0,2020-08-09,lanl
Burkina Faso,2020-03-09,0,0,0,2020-08-09,lanl
Cabo Verde,2020-03-09,0,0,0,2020-08-09,lanl
Cameroon,2020-03-09,0,0,0,2020-08-09,lanl
Canada,2020-03-09,1,1,1,2020-08-09,lanl
Central African Republic,2020-03-09,0,0,0,2020-08-09,lanl
Chad,2020-03-09,0,0,0,2020-08-09,lanl
Chile,2020-03-09,0,0,0,2020-08-09,lanl
China,2020-03-09,3123,3123,3123,2020-08-09,lanl
Colombia,2020-03-09,0,0,0,2020-08-09,lanl
Republic of Congo,2020-03-09,0,0,0,2020-08-09,lanl
Costa Rica,2020-03-09,0,0,0,2020-08-09,lanl
Cote d'Ivoire,2020-03-09,0,0,0,2020-08-09,lanl
Croatia,2020-03-09,0,0,0,2020-08-09,lanl
Cuba,2020-03-09,0,0,0,2020-08-09,lanl
Czechia,2020-03-09,0,0,0,2020-08-09,lanl
Democratic Republic of the Congo,2020-03-09,0,0,0,2020-08-09,lanl
Denmark,2020-03-09,0,0,0,2020-08-09,lanl
Djibouti,2020-03-09,0,0,0,2020-08-09,lanl
Dominican Republic,2020-03-09,0,0,0,2020-08-09,lanl
Ecuador,2020-03-09,0,0,0,2020-08-09,lanl
Egypt,2020-03-09,1,1,1,2020-08-09,lanl
El Salvador,2020-03-09,0,0,0,2020-08-09,lanl
Equatorial Guinea,2020-03-09,0,0,0,2020-08-09,lanl
Estonia,2020-03-09,0,0,0,2020-08-09,lanl
Eswatini,2020-03-09,0,0,0,2020-08-09,lanl
Ethiopia,2020-03-09,0,0,0,2020-08-09,lanl
Finland,2020-03-09,0,0,0,2020-08-09,lanl
France,2020-03-09,19,19,19,2020-08-09,lanl
Gabon,2020-03-09,0,0,0,2020-08-09,lanl
Gambia,2020-03-09,0,0,0,2020-08-09,lanl
Germany,2020-03-09,2,2,2,2020-08-09,lanl
Ghana,2020-03-09,0,0,0,2020-08-09,lanl
Greece,2020-03-09,0,0,0,2020-08-09,lanl
Guatemala,2020-03-09,0,0,0,2020-08-09,lanl
Guinea,2020-03-09,0,0,0,2020-08-09,lanl
Guinea-Bissau,2020-03-09,0,0,0,2020-08-09,lanl
Guyana,2020-03-09,0,0,0,2020-08-09,lanl
Haiti,2020-03-09,0,0,0,2020-08-09,lanl
Honduras,2020-03-09,0,0,0,2020-08-09,lanl
Hungary,2020-03-09,0,0,0,2020-08-09,lanl
India,2020-03-09,0,0,0,2020-08-09,lanl
Indonesia,2020-03-09,0,0,0,2020-08-09,lanl
Iran,2020-03-09,237,237,237,2020-08-09,lanl
Iraq,2020-03-09,6,6,6,2020-08-09,lanl
Ireland,2020-03-09,0,0,0,2020-08-09,lanl
Israel,2020-03-09,0,0,0,2020-08-09,lanl
Italy,2020-03-09,463,463,463,2020-08-09,lanl
Japan,2020-03-09,10,10,10,2020-08-09,lanl
Kazakhstan,2020-03-09,0,0,0,2020-08-09,lanl
Kenya,2020-03-09,0,0,0,2020-08-09,lanl
