,country,date,model,precede,preValue
42401,4,2020-10-24,l2,21,668871.7946741205
130234,4,2020-10-24,l3,10,842571.1845083802
42314,4,2020-10-24,l2,24,668740.4859302079
130379,4,2020-10-24,l3,5,846796.680815786
130350,4,2020-10-24,l3,6,848546.3087464124
42256,4,2020-10-24,l2,26,674686.4310899277
129683,4,2020-10-24,l3,29,600359.3921051944
42285,4,2020-10-24,l2,25,666867.2865517974
130321,4,2020-10-24,l3,7,849825.1903540844
129712,4,2020-10-24,l3,28,619099.981058152
130060,4,2020-10-24,l3,16,852116.0661464146
130089,4,2020-10-24,l3,15,844882.7749121811
129915,4,2020-10-24,l3,21,642604.6956125374
130002,4,2020-10-24,l3,18,794034.5447995745
129973,4,2020-10-24,l3,19,731682.9134409212
130031,4,2020-10-24,l3,17,842317.6699995756
129886,4,2020-10-24,l3,22,641193.9573584893
129799,4,2020-10-24,l3,25,642289.1835487211
130205,4,2020-10-24,l3,11,849004.0772888556
130176,4,2020-10-24,l3,12,853785.8013393309
129828,4,2020-10-24,l3,24,639571.1365114928
130147,4,2020-10-24,l3,13,840787.7765854364
129857,4,2020-10-24,l3,23,640055.602728358
130118,4,2020-10-24,l3,14,834601.3409768972
42227,4,2020-10-24,l2,27,675337.8565359968
130408,4,2020-10-24,l3,4,845925.8224401487
42517,4,2020-10-24,l2,17,1022905.1536288518
187634,4,2020-10-24,lanl,10,994148.554045688
187607,4,2020-10-24,lanl,13,917693.797807789
42488,4,2020-10-24,l2,18,1016126.9064703668
244078,4,2020-10-24,sjka,4,830489.0
187660,4,2020-10-24,lanl,6,904025.719223034
187687,4,2020-10-24,lanl,3,941760.387395641
129944,4,2020-10-24,l3,20,662661.0504567048
244136,4,2020-10-24,sjka,2,852411.0
187501,4,2020-10-24,lanl,27,728511.367632814
187581,4,2020-10-24,lanl,17,1012007.9125188
42546,4,2020-10-24,l2,16,1020056.3670822836
187528,4,2020-10-24,lanl,24,765729.469502191
187554,4,2020-10-24,lanl,20,1733285.3245312
244107,4,2020-10-24,sjka,3,838955.0
244049,4,2020-10-24,sjka,5,827389.0
243933,4,2020-10-24,sjka,9,820333.0
243904,4,2020-10-24,sjka,10,813297.0
42169,4,2020-10-24,l2,29,660789.2865553364
42430,4,2020-10-24,l2,20,776570.7435021163
42198,4,2020-10-24,l2,28,673530.9070834077
42459,4,2020-10-24,l2,19,1022983.6515359204
130495,4,2020-10-24,l3,1,852869.184467979
244020,4,2020-10-24,sjka,6,827155.0
243991,4,2020-10-24,sjka,7,824227.0
130466,4,2020-10-24,l3,2,850001.6779703207
243962,4,2020-10-24,sjka,8,827801.0
130437,4,2020-10-24,l3,3,845999.4197726583
243527,4,2020-10-24,sjka,23,683431.0
243498,4,2020-10-24,sjka,24,678681.0
243469,4,2020-10-24,sjka,25,658070.0
243440,4,2020-10-24,sjka,26,637564.0
243411,4,2020-10-24,sjka,27,643205.0
243382,4,2020-10-24,sjka,28,643382.0
243353,4,2020-10-24,sjka,29,670963.0
243730,4,2020-10-24,sjka,16,840156.0
243701,4,2020-10-24,sjka,17,729144.0
243672,4,2020-10-24,sjka,18,701748.0
243643,4,2020-10-24,sjka,19,119592.0
243875,4,2020-10-24,sjka,11,816605.0
243846,4,2020-10-24,sjka,12,903919.0
243817,4,2020-10-24,sjka,13,887210.0
243788,4,2020-10-24,sjka,14,876752.0
243759,4,2020-10-24,sjka,15,871644.0
243614,4,2020-10-24,sjka,20,714146.0
243585,4,2020-10-24,sjka,21,626971.0
243556,4,2020-10-24,sjka,22,637815.0
130322,4,2020-10-25,l3,8,872000.9606272196
187688,4,2020-10-25,lanl,4,983089.153018862
130496,4,2020-10-25,l3,2,875491.5613614592
187714,4,2020-10-25,lanl,0,903375.535423202
187661,4,2020-10-25,lanl,7,934182.966624328
130351,4,2020-10-25,l3,7,870588.4012120877
130438,4,2020-10-25,l3,4,867691.1911372251
130380,4,2020-10-25,l3,6,868651.9335889206
130467,4,2020-10-25,l3,3,872230.1845212197
130409,4,2020-10-25,l3,5,867685.924728728
187635,4,2020-10-25,lanl,11,1034210.29596798
130525,4,2020-10-25,l3,1,877270.9759132748
187529,4,2020-10-25,lanl,25,776157.693446047
187502,4,2020-10-25,lanl,28,740265.664784174
187608,4,2020-10-25,lanl,14,941442.910129141
130554,4,2020-10-25,l3,0,878766.5527127329
187582,4,2020-10-25,lanl,18,1053565.09057367
187555,4,2020-10-25,lanl,21,1841323.58088345
130293,4,2020-10-25,l3,9,870716.9946823217
42924,4,2020-10-25,l2,4,866911.2279749495
42953,4,2020-10-25,l2,3,874780.9717507692
42982,4,2020-10-25,l2,2,876710.9382121185
42837,4,2020-10-25,l2,7,860553.3651105239
42866,4,2020-10-25,l2,6,857085.7119371921
42895,4,2020-10-25,l2,5,859639.8805028739
43011,4,2020-10-25,l2,1,876419.5304972903
43040,4,2020-10-25,l2,0,878852.5897512491
244108,4,2020-10-25,sjka,4,857709.0
244224,4,2020-10-25,sjka,0,878283.0
244195,4,2020-10-25,sjka,1,874877.0
244166,4,2020-10-25,sjka,2,874048.0
42605,4,2020-10-25,l2,15,1054555.3841694265
42634,4,2020-10-25,l2,14,1038105.0875372072
42460,4,2020-10-25,l2,20,1067120.4856777946
42663,4,2020-10-25,l2,13,999688.5676539728
42518,4,2020-10-25,l2,18,1067142.8277606578
42547,4,2020-10-25,l2,17,1064201.1777591656
42489,4,2020-10-25,l2,19,1059760.422252893
42576,4,2020-10-25,l2,16,1076312.457910624
42779,4,2020-10-25,l2,9,884726.0358768398
