,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,2020/5/9,0,1320155,1339022,1358293,1381241,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1315358.0,1342022.0,1368626.0,1395172.0,1421599.0,1447856.0,1473922.0,1499813.0,1525535.0,1551081.0,1576436.0,1601581.0,1626506.0,1651203.0,1675670.0
1,0,2020/5/10,0,1339022,1358293,1381241,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1340266.0,1366066.0,1391710.0,1417130.0,1442267.0,1467087.0,1491587.0,1515850.0,1539842.0,1563549.0,1586954.0,1610047.0,1632825.0,1655292.0,1677448.0
2,0,2020/5/11,0,1358293,1381241,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1358665.0,1382998.0,1407013.0,1430648.0,1453866.0,1476655.0,1499079.0,1521156.0,1542865.0,1564192.0,1585130.0,1605679.0,1625845.0,1645635.0,1665048.0
3,0,2020/5/12,0,1381241,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1376498.0,1399687.0,1422470.0,1444812.0,1466702.0,1488198.0,1509317.0,1530034.0,1550348.0,1570255.0,1589755.0,1608854.0,1627561.0,1645877.0,1663803.0
4,0,2020/5/13,0,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1398470.0,1421414.0,1443984.0,1466187.0,1488030.0,1509522.0,1530690.0,1551551.0,1572083.0,1592270.0,1612111.0,1631645.0,1650887.0,1669825.0,1688422.0
5,0,2020/5/14,0,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1418954.0,1441441.0,1463570.0,1485399.0,1506950.0,1528214.0,1549139.0,1569690.0,1589905.0,1609788.0,1629343.0,1648568.0,1667457.0,1686006.0,1704214.0
6,0,2020/5/15,0,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1447046.0,1470086.0,1492906.0,1515532.0,1537958.0,1560139.0,1582046.0,1603665.0,1625020.0,1646114.0,1666943.0,1687498.0,1707770.0,1727756.0,1747454.0
7,0,2020/5/16,0,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1472130.0,1495014.0,1517698.0,1540173.0,1562394.0,1584328.0,1605955.0,1627302.0,1648379.0,1669180.0,1689696.0,1709919.0,1729843.0,1749469.0,1768799.0
8,0,2020/5/17,0,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1497154.0,1519989.0,1542624.0,1565013.0,1587125.0,1608937.0,1630468.0,1651742.0,1672746.0,1693471.0,1713908.0,1734052.0,1753902.0,1773460.0,1792726.0
9,0,2020/5/18,0,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1515183.0,1536938.0,1558395.0,1579547.0,1600405.0,1620962.0,1641240.0,1661241.0,1680977.0,1700429.0,1719579.0,1738420.0,1756960.0,1775209.0,1793173.0
10,0,2020/5/19,0,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1536624.0,1558047.0,1579163.0,1599984.0,1620501.0,1640737.0,1660694.0,1680384.0,1699795.0,1718913.0,1737729.0,1756251.0,1774487.0,1792442.0,1810080.0
11,0,2020/5/20,0,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1556858.0,1578064.0,1598978.0,1619593.0,1639932.0,1659996.0,1679800.0,1699331.0,1718589.0,1737567.0,1756273.0,1774717.0,1792903.0,1810800.0,1828362.0
12,0,2020/5/21,0,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1581359.0,1603381.0,1625247.0,1646986.0,1668620.0,1690101.0,1711353.0,1732333.0,1753114.0,1773694.0,1794069.0,1814227.0,1834156.0,1853845.0,1873293.0
13,0,2020/5/22,0,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1606940.0,1629242.0,1651447.0,1673574.0,1695579.0,1717392.0,1738972.0,1760248.0,1781335.0,1802224.0,1822902.0,1843351.0,1863559.0,1883519.0,1903230.0
