cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max


权锟斤拷e锟斤拷值e0.5e0.2

155,,97,443,2020-05-01,2021-04-12,0.15528479020183622,0.1444919928479512,0.15528479020183622&&&0.1444919928479512,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21316912287850592,0.19135119240953283,0.21316912287850592&&&0.19135119240953283,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15878771032676295,0.160642312148646,0.15878771032676295&&&0.160642312148646,347,0.9211360338770994
98,,97,443,2020-05-01,2021-04-12,0.2366750078113549,0.3046207870303581,0.2366750078113549&&&0.3046207870303581,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.2244787371436354,0.1805954862026992,0.2244787371436354&&&0.1805954862026992,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18900873626288694,0.16699784425237282,0.18900873626288694&&&0.16699784425237282,325,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.22665840768142903,0.23292023417328314,0.22665840768142903&&&0.23292023417328314,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.13102575093453528,0.14331868453993243,0.13102575093453528&&&0.14331868453993243,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3279814493651806,0.25826240633701175,0.3279814493651806&&&0.25826240633701175,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.11718790283850156,0.10931393506826906,0.11718790283850156&&&0.10931393506826906,347,0.7266353509851552


权锟斤拷e锟斤拷值e0.5e0.3

155,,97,443,2020-05-01,2021-04-12,0.14850080691802103,0.1325911082474615,0.14850080691802103&&&0.1325911082474615,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.2131675161671037,0.19294367579518892,0.2131675161671037&&&0.19294367579518892,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15826546455568033,0.1546115625854013,0.15826546455568033&&&0.1546115625854013,347,0.9211360338770994
98,,97,443,2020-05-01,2021-04-12,0.23282102465081947,0.3036475020047428,0.23282102465081947&&&0.3036475020047428,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21632612655974112,0.1723543961736648,0.21632612655974112&&&0.1723543961736648,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18576186571192604,0.16366784390508135,0.18576186571192604&&&0.16366784390508135,328,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.22378387942020783,0.22822353342554227,0.22378387942020783&&&0.22822353342554227,277,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12367160744051359,0.1276756666779217,0.12367160744051359&&&0.1276756666779217,347,0.6970371883817326
138,,97,443,2020-05-01,2021-04-12,0.3373507158412293,0.26622384139491617,0.3373507158412293&&&0.26622384139491617,310,1.4521522291754203
124,,97,443,2020-05-01,2021-04-12,0.1174950380338307,0.10924418119718614,0.1174950380338307&&&0.10924418119718614,347,0.7266353509851552





权重e阈值e0.5e0.4
155,,97,443,2020-05-01,2021-04-12,0.1453328588769462,0.12335749198791231,0.1453328588769462&&&0.12335749198791231,347,0.9143060944128697
