cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max
outR2AICrange20
155,,97,443,2020-05-01,2021-04-12,0.16034153200861526,0.11009706034931356,0.16034153200861526&&&0.11009706034931356,347,0.9773507010361149
21,,97,443,2020-05-01,2021-04-12,0.47064485658408084,0.3418077379331606,0.47064485658408084&&&0.3418077379331606,347,1.247572551034727
71,,97,443,2020-05-01,2021-04-12,0.1571880531019998,0.13070440893289625,0.1571880531019998&&&0.13070440893289625,347,0.9278086107989828
98,,97,443,2020-05-01,2021-04-12,0.349891429650418,0.34974417351127013,0.349891429650418&&&0.34974417351127013,347,2.1419993627847456
153,,97,443,2020-05-01,2021-04-12,0.23071936395714918,0.15868111057245798,0.23071936395714918&&&0.15868111057245798,337,0.8903981859086468
77,,97,443,2020-05-01,2021-04-12,0.2470566613334699,0.2124373824051388,0.2470566613334699&&&0.2124373824051388,331,0.9639219165865822
56,,97,443,2020-05-01,2021-04-12,0.5403392572652206,0.6711968601678932,0.5403392572652206&&&0.6711968601678932,297,7.7603116375588
73,,97,443,2020-05-01,2021-04-12,0.13594224578427863,0.13547947937850713,0.13594224578427863&&&0.13547947937850713,347,0.8835446445278544
138,,97,443,2020-05-01,2021-04-12,0.7058583457609431,0.4322864413995533,0.7058583457609431&&&0.4322864413995533,322,3.0782430834055994
124,,97,443,2020-05-01,2021-04-12,0.12470238212657292,0.10528554770969013,0.12470238212657292&&&0.10528554770969013,347,0.6199237839172893

outR2AICrange20
155,,97,443,2020-05-01,2021-04-12,0.16034153200861526,0.11009706034931356,0.16034153200861526&&&0.11009706034931356,347,0.9773507010361149
21,,97,443,2020-05-01,2021-04-12,0.47064485658408084,0.3418077379331606,0.47064485658408084&&&0.3418077379331606,347,1.247572551034727
71,,97,443,2020-05-01,2021-04-12,0.1571880531019998,0.13070440893289625,0.1571880531019998&&&0.13070440893289625,347,0.9278086107989828
98,,97,443,2020-05-01,2021-04-12,0.349891429650418,0.34974417351127013,0.349891429650418&&&0.34974417351127013,347,2.1419993627847456
153,,97,443,2020-05-01,2021-04-12,0.23071936395714918,0.15868111057245798,0.23071936395714918&&&0.15868111057245798,337,0.8903981859086468
77,,97,443,2020-05-01,2021-04-12,0.2470566613334699,0.2124373824051388,0.2470566613334699&&&0.2124373824051388,331,0.9639219165865822
56,,97,443,2020-05-01,2021-04-12,0.5403392572652206,0.6711968601678932,0.5403392572652206&&&0.6711968601678932,297,7.7603116375588
73,,97,443,2020-05-01,2021-04-12,0.13594224578427863,0.13547947937850713,0.13594224578427863&&&0.13547947937850713,347,0.8835446445278544
138,,97,443,2020-05-01,2021-04-12,0.7058583457609431,0.4322864413995533,0.7058583457609431&&&0.4322864413995533,322,3.0782430834055994
124,,97,443,2020-05-01,2021-04-12,0.12470238212657292,0.10528554770969013,0.12470238212657292&&&0.10528554770969013,347,0.6199237839172893

outR2AICrange20
155,,97,443,2020-05-01,2021-04-12,0.16034153200861526,0.11009706034931356,0.16034153200861526&&&0.11009706034931356,347,0.9773507010361149
21,,97,443,2020-05-01,2021-04-12,0.47064485658408084,0.3418077379331606,0.47064485658408084&&&0.3418077379331606,347,1.247572551034727
71,,97,443,2020-05-01,2021-04-12,0.1571880531019998,0.13070440893289625,0.1571880531019998&&&0.13070440893289625,347,0.9278086107989828
98,,97,443,2020-05-01,2021-04-12,0.349891429650418,0.34974417351127013,0.349891429650418&&&0.34974417351127013,347,2.1419993627847456
153,,97,443,2020-05-01,2021-04-12,0.23071936395714918,0.15868111057245798,0.23071936395714918&&&0.15868111057245798,337,0.8903981859086468
77,,97,443,2020-05-01,2021-04-12,0.2470566613334699,0.2124373824051388,0.2470566613334699&&&0.2124373824051388,331,0.9639219165865822
56,,97,443,2020-05-01,2021-04-12,0.5403392572652206,0.6711968601678932,0.5403392572652206&&&0.6711968601678932,297,7.7603116375588
73,,97,443,2020-05-01,2021-04-12,0.13594224578427863,0.13547947937850713,0.13594224578427863&&&0.13547947937850713,347,0.8835446445278544
138,,97,443,2020-05-01,2021-04-12,0.7058583457609431,0.4322864413995533,0.7058583457609431&&&0.4322864413995533,322,3.0782430834055994
124,,97,443,2020-05-01,2021-04-12,0.12470238212657292,0.10528554770969013,0.12470238212657292&&&0.10528554770969013,347,0.6199237839172893

outR2AICrange20
155,,97,443,2020-05-01,2021-04-12,0.16034153200861526,0.11009706034931356,0.16034153200861526&&&0.11009706034931356,347,0.9773507010361149
21,,97,443,2020-05-01,2021-04-12,0.47064485658408084,0.3418077379331606,0.47064485658408084&&&0.3418077379331606,347,1.247572551034727
71,,97,443,2020-05-01,2021-04-12,0.1571880531019998,0.13070440893289625,0.1571880531019998&&&0.13070440893289625,347,0.9278086107989828
98,,97,443,2020-05-01,2021-04-12,0.349891429650418,0.34974417351127013,0.349891429650418&&&0.34974417351127013,347,2.1419993627847456
153,,97,443,2020-05-01,2021-04-12,0.23071936395714918,0.15868111057245798,0.23071936395714918&&&0.15868111057245798,337,0.8903981859086468
77,,97,443,2020-05-01,2021-04-12,0.2470566613334699,0.2124373824051388,0.2470566613334699&&&0.2124373824051388,331,0.9639219165865822
56,,97,443,2020-05-01,2021-04-12,0.5403392572652206,0.6711968601678932,0.5403392572652206&&&0.6711968601678932,297,7.7603116375588
73,,97,443,2020-05-01,2021-04-12,0.13594224578427863,0.13547947937850713,0.13594224578427863&&&0.13547947937850713,347,0.8835446445278544
138,,97,443,2020-05-01,2021-04-12,0.7058583457609431,0.4322864413995533,0.7058583457609431&&&0.4322864413995533,322,3.0782430834055994
124,,97,443,2020-05-01,2021-04-12,0.12470238212657292,0.10528554770969013,0.12470238212657292&&&0.10528554770969013,347,0.6199237839172893

outR2AICrange20
155,,97,443,2020-05-01,2021-04-12,0.16034153200861526,0.11009706034931356,0.16034153200861526&&&0.11009706034931356,347,0.9773507010361149
21,,97,443,2020-05-01,2021-04-12,0.47064485658408084,0.3418077379331606,0.47064485658408084&&&0.3418077379331606,347,1.247572551034727
