cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max

WIGHT&THRESHOLD&0.2&0.2
155,,97,443,2020-05-01,2021-04-12,0.1550832071425523,0.14475517712626892,0.1550832071425523&&&0.14475517712626892,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21018182588037335,0.18923812868674555,0.21018182588037335&&&0.18923812868674555,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15945347719086772,0.15816642316713939,0.15945347719086772&&&0.15816642316713939,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23500724622534888,0.3006355297834688,0.23500724622534888&&&0.3006355297834688,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.22677212985610715,0.17957537986271602,0.22677212985610715&&&0.17957537986271602,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19455250283178782,0.16735730250795924,0.19455250283178782&&&0.16735730250795924,324,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21510207189245403,0.2302286190753184,0.21510207189245403&&&0.2302286190753184,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.1280341822683524,0.14288823336425654,0.1280341822683524&&&0.14288823336425654,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.32295055147485446,0.25955762802794796,0.32295055147485446&&&0.25955762802794796,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

WIGHT&THRESHOLD&0.2&0.3
155,,97,443,2020-05-01,2021-04-12,0.15131398852228448,0.13125716726240333,0.15131398852228448&&&0.13125716726240333,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21034712946144654,0.1889478403306405,0.21034712946144654&&&0.1889478403306405,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.1560211199363256,0.14906630185208003,0.1560211199363256&&&0.14906630185208003,347,0.8801381268566258
