cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max

PaicRankRangeWight0.5
155,,97,443,2020-05-01,2021-04-12,0.1587110259052237,0.145513249255401,0.1587110259052237&&&0.145513249255401,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.2088244057656512,0.1861310169887954,0.2088244057656512&&&0.1861310169887954,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.16275057100181792,0.1551222253514615,0.16275057100181792&&&0.1551222253514615,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23872328167374457,0.30219214025879887,0.23872328167374457&&&0.30219214025879887,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.2276156690487856,0.18435550426174357,0.2276156690487856&&&0.18435550426174357,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19957248621079302,0.16898944194342372,0.19957248621079302&&&0.16898944194342372,322,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21892728712399573,0.23176317192411858,0.21892728712399573&&&0.23176317192411858,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.1362959770759844,0.15399456685431884,0.1362959770759844&&&0.15399456685431884,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3222182102032325,0.2585595836004881,0.3222182102032325&&&0.2585595836004881,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1314344920176643,0.1373498756170979,0.1314344920176643&&&0.1373498756170979,347,0.7266353509851552

PaicRankRangeWight0.0
155,,97,443,2020-05-01,2021-04-12,0.15560888770277628,0.13846521129139555,0.15560888770277628&&&0.13846521129139555,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21056134654962427,0.18849249313983227,0.21056134654962427&&&0.18849249313983227,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15961316743272339,0.15013407983316188,0.15961316743272339&&&0.15013407983316188,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23883721759890444,0.30057939415310336,0.23883721759890444&&&0.30057939415310336,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.22804659472084687,0.18378689081933017,0.22804659472084687&&&0.18378689081933017,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.2025682423984684,0.17467806932731064,0.2025682423984684&&&0.17467806932731064,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.2161097792811069,0.23083362408750221,0.2161097792811069&&&0.23083362408750221,277,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.13320218620691046,0.1499417390548204,0.13320218620691046&&&0.1499417390548204,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.334636231235819,0.26888527856869693,0.334636231235819&&&0.26888527856869693,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1314766237434847,0.13729353807023342,0.1314766237434847&&&0.13729353807023342,347,0.7266353509851552

PaicRankRangeWight0.1
155,,97,443,2020-05-01,2021-04-12,0.14989486674651845,0.12518686166412618,0.14989486674651845&&&0.12518686166412618,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.21048857864420822,0.19192313337925512,0.21048857864420822&&&0.19192313337925512,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15649005529112056,0.1493287888569347,0.15649005529112056&&&0.1493287888569347,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.23809286600029386,0.3037833739524774,0.23809286600029386&&&0.3037833739524774,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21448084544584323,0.16420421882947298,0.21448084544584323&&&0.16420421882947298,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20903948701855357,0.18639159611809303,0.20903948701855357&&&0.18639159611809303,325,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.2161076223884096,0.23382072609291496,0.2161076223884096&&&0.23382072609291496,278,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3313496977566608,0.27914636226151673,0.3313496977566608&&&0.27914636226151673,310,1.4521522291754203
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

PaicRankRangeWight0.2
155,,97,443,2020-05-01,2021-04-12,0.14379202031718638,0.12193571151795386,0.14379202031718638&&&0.12193571151795386,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.21675779542101592,0.19826793192070744,0.21675779542101592&&&0.19826793192070744,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15990698356345184,0.16032671196088671,0.15990698356345184&&&0.16032671196088671,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.2310319346212413,0.300767346051645,0.2310319346212413&&&0.300767346051645,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21064726380070614,0.1627251315491083,0.21064726380070614&&&0.1627251315491083,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20209378381212484,0.18162646582332642,0.20209378381212484&&&0.18162646582332642,327,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.22566045744018243,0.27895751165369503,0.22566045744018243&&&0.27895751165369503,279,2.894034785866872
73,,97,443,2020-05-01,2021-04-12,0.1274215810481538,0.13696299173911677,0.1274215810481538&&&0.13696299173911677,347,0.7131617115289782
138,,97,443,2020-05-01,2021-04-12,0.33521801964381215,0.2797838752659435,0.33521801964381215&&&0.2797838752659435,310,1.4521522291754203
124,,97,443,2020-05-01,2021-04-12,0.12048634588829474,0.12238740358673374,0.12048634588829474&&&0.12238740358673374,347,0.7266353509851552

PaicRankRangeWight0.3
155,,97,443,2020-05-01,2021-04-12,0.14288178863496842,0.11792386360695448,0.14288178863496842&&&0.11792386360695448,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.2229638631680751,0.21371077508133826,0.2229638631680751&&&0.21371077508133826,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.1487844819831083,0.14102807117617422,0.1487844819831083&&&0.14102807117617422,347,0.8797471476647137
98,,97,443,2020-05-01,2021-04-12,0.22914769577635294,0.307476666008946,0.22914769577635294&&&0.307476666008946,345,4.020063037164734
