cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max

WIGHT&THRESHOLD&0.1&0.2
155,,97,443,2020-05-01,2021-04-12,0.1474136540789569,0.1286745898053885,0.1474136540789569&&&0.1286745898053885,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.20546031638477907,0.1772236877805832,0.20546031638477907&&&0.1772236877805832,347,0.9848715138209408
71,,97,443,2020-05-01,2021-04-12,0.1432432678999256,0.12021197157035328,0.1432432678999256&&&0.12021197157035328,347,0.8586347599924341
98,,97,443,2020-05-01,2021-04-12,0.23547440017224627,0.3067236710932314,0.23547440017224627&&&0.3067236710932314,347,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21923705352491846,0.16784836456563568,0.21923705352491846&&&0.16784836456563568,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18049621975229277,0.1462579201362996,0.18049621975229277&&&0.1462579201362996,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21155970277567818,0.21854209214037096,0.21155970277567818&&&0.21854209214037096,273,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12112312468807768,0.12667405259554682,0.12112312468807768&&&0.12667405259554682,347,0.7131617115289782
138,,97,443,2020-05-01,2021-04-12,0.3161078409219282,0.2445448476715742,0.3161078409219282&&&0.2445448476715742,313,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1149428763395734,0.10788093586431703,0.1149428763395734&&&0.10788093586431703,347,0.574766725195864

WIGHT&THRESHOLD&0.1&0.2
155,,97,443,2020-05-01,2021-04-12,0.1474136540789569,0.1286745898053885,0.1474136540789569&&&0.1286745898053885,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.20546031638477907,0.1772236877805832,0.20546031638477907&&&0.1772236877805832,347,0.9848715138209408
71,,97,443,2020-05-01,2021-04-12,0.1432432678999256,0.12021197157035328,0.1432432678999256&&&0.12021197157035328,347,0.8586347599924341
98,,97,443,2020-05-01,2021-04-12,0.23547440017224627,0.3067236710932314,0.23547440017224627&&&0.3067236710932314,347,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21923705352491846,0.16784836456563568,0.21923705352491846&&&0.16784836456563568,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18049621975229277,0.1462579201362996,0.18049621975229277&&&0.1462579201362996,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21155970277567818,0.21854209214037096,0.21155970277567818&&&0.21854209214037096,273,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12112312468807768,0.12667405259554682,0.12112312468807768&&&0.12667405259554682,347,0.7131617115289782
138,,97,443,2020-05-01,2021-04-12,0.3161078409219282,0.2445448476715742,0.3161078409219282&&&0.2445448476715742,313,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1149428763395734,0.10788093586431703,0.1149428763395734&&&0.10788093586431703,347,0.574766725195864

WIGHT&THRESHOLD&0.1&0.3
155,,97,443,2020-05-01,2021-04-12,0.14757244677128947,0.12863999226143127,0.14757244677128947&&&0.12863999226143127,347,0.8197809284791868
21,,97,443,2020-05-01,2021-04-12,0.20536396328433204,0.17712764071427536,0.20536396328433204&&&0.17712764071427536,347,0.9848715138209408
71,,97,443,2020-05-01,2021-04-12,0.14297172813443582,0.12034215630151875,0.14297172813443582&&&0.12034215630151875,347,0.8586347599924341
98,,97,443,2020-05-01,2021-04-12,0.23630868930557358,0.30693909308981493,0.23630868930557358&&&0.30693909308981493,347,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21899873414632892,0.16708308958597376,0.21899873414632892&&&0.16708308958597376,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18102815581995238,0.1459608094611668,0.18102815581995238&&&0.1459608094611668,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21021344288009333,0.21736723199269034,0.21021344288009333&&&0.21736723199269034,273,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12112312468807768,0.12667405259554682,0.12112312468807768&&&0.12667405259554682,347,0.7131617115289782
138,,97,443,2020-05-01,2021-04-12,0.3169416877991619,0.24630722104098923,0.3169416877991619&&&0.24630722104098923,313,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1149428763395734,0.10788093586431703,0.1149428763395734&&&0.10788093586431703,347,0.574766725195864

WIGHT&THRESHOLD&0.1&0.4
155,,97,443,2020-05-01,2021-04-12,0.146048114109376,0.12370477388791767,0.146048114109376&&&0.12370477388791767,347,0.6793331703413881
21,,97,443,2020-05-01,2021-04-12,0.20531550342909183,0.17697507360214582,0.20531550342909183&&&0.17697507360214582,347,0.9848715138209408
71,,97,443,2020-05-01,2021-04-12,0.14289150744084045,0.12039064959181335,0.14289150744084045&&&0.12039064959181335,347,0.8586347599924341
98,,97,443,2020-05-01,2021-04-12,0.23668014707744822,0.30674365957131483,0.23668014707744822&&&0.30674365957131483,347,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21899873414632892,0.16708308958597376,0.21899873414632892&&&0.16708308958597376,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.18108419906381515,0.14594749182547032,0.18108419906381515&&&0.14594749182547032,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21021344288009333,0.21736723199269034,0.21021344288009333&&&0.21736723199269034,273,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12112312468807768,0.12667405259554682,0.12112312468807768&&&0.12667405259554682,347,0.7131617115289782
138,,97,443,2020-05-01,2021-04-12,0.31732722050345796,0.2456719260327019,0.31732722050345796&&&0.2456719260327019,314,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1149428763395734,0.10788093586431703,0.1149428763395734&&&0.10788093586431703,347,0.574766725195864

WIGHT&THRESHOLD&0.1&0.5
