location_name,date,deaths,model_date,model
Afghanistan,2020-06-20,569,2020-06-21,sikjalpha
Albania,2020-06-20,43,2020-06-21,sikjalpha
Algeria,2020-06-20,837,2020-06-21,sikjalpha
Andorra,2020-06-20,52,2020-06-21,sikjalpha
Angola,2020-06-20,9,2020-06-21,sikjalpha
Antigua and Barbuda,2020-06-20,3,2020-06-21,sikjalpha
Argentina,2020-06-20,992,2020-06-21,sikjalpha
Armenia,2020-06-20,332,2020-06-21,sikjalpha
Australia,2020-06-20,102,2020-06-21,sikjalpha
Austria,2020-06-20,688,2020-06-21,sikjalpha
Azerbaijan,2020-06-20,148,2020-06-21,sikjalpha
The Bahamas,2020-06-20,11,2020-06-21,sikjalpha
Bahrain,2020-06-20,60,2020-06-21,sikjalpha
Bangladesh,2020-06-20,1425,2020-06-21,sikjalpha
Barbados,2020-06-20,7,2020-06-21,sikjalpha
Belarus,2020-06-20,343,2020-06-21,sikjalpha
Belgium,2020-06-20,9696,2020-06-21,sikjalpha
Benin,2020-06-20,11,2020-06-21,sikjalpha
Bhutan,2020-06-20,0,2020-06-21,sikjalpha
Bolivia,2020-06-20,740,2020-06-21,sikjalpha
Bosnia and Herzegovina,2020-06-20,169,2020-06-21,sikjalpha
Brazil,2020-06-20,49976,2020-06-21,sikjalpha
Brunei,2020-06-20,3,2020-06-21,sikjalpha
Bulgaria,2020-06-20,199,2020-06-21,sikjalpha
Burkina Faso,2020-06-20,53,2020-06-21,sikjalpha
Cape Verde,2020-06-20,8,2020-06-21,sikjalpha
Cambodia,2020-06-20,0,2020-06-21,sikjalpha
Cameroon,2020-06-20,301,2020-06-21,sikjalpha
Canada,2020-06-20,8466,2020-06-21,sikjalpha
Central African Republic,2020-06-20,19,2020-06-21,sikjalpha
Chad,2020-06-20,74,2020-06-21,sikjalpha
Chile,2020-06-20,4295,2020-06-21,sikjalpha
China,2020-06-20,4639,2020-06-21,sikjalpha
Colombia,2020-06-20,2126,2020-06-21,sikjalpha
Congo,2020-06-20,27,2020-06-21,sikjalpha
Democratic Republic of the Congo,2020-06-20,125,2020-06-21,sikjalpha
Costa Rica,2020-06-20,12,2020-06-21,sikjalpha
Cote d'Ivoire,2020-06-20,52,2020-06-21,sikjalpha
Croatia,2020-06-20,107,2020-06-21,sikjalpha
Diamond Princess,2020-06-20,13,2020-06-21,sikjalpha
Cuba,2020-06-20,85,2020-06-21,sikjalpha
Cyprus,2020-06-20,19,2020-06-21,sikjalpha
Czech Republic,2020-06-20,336,2020-06-21,sikjalpha
Denmark,2020-06-20,600,2020-06-21,sikjalpha
Djibouti,2020-06-20,45,2020-06-21,sikjalpha
Dominican Republic,2020-06-20,655,2020-06-21,sikjalpha
Ecuador,2020-06-20,4156,2020-06-21,sikjalpha
Egypt,2020-06-20,2106,2020-06-21,sikjalpha
El Salvador,2020-06-20,93,2020-06-21,sikjalpha
Equatorial Guinea,2020-06-20,32,2020-06-21,sikjalpha
Eritrea,2020-06-20,0,2020-06-21,sikjalpha
Estonia,2020-06-20,69,2020-06-21,sikjalpha
Eswatini,2020-06-20,5,2020-06-21,sikjalpha
Ethiopia,2020-06-20,72,2020-06-21,sikjalpha
Fiji,2020-06-20,0,2020-06-21,sikjalpha
Finland,2020-06-20,326,2020-06-21,sikjalpha
France,2020-06-20,29636,2020-06-21,sikjalpha
Gabon,2020-06-20,34,2020-06-21,sikjalpha
The Gambia,2020-06-20,2,2020-06-21,sikjalpha
Georgia (Country),2020-06-20,14,2020-06-21,sikjalpha
Germany,2020-06-20,8895,2020-06-21,sikjalpha
Ghana,2020-06-20,85,2020-06-21,sikjalpha
Greece,2020-06-20,190,2020-06-21,sikjalpha
Guatemala,2020-06-20,514,2020-06-21,sikjalpha
Guinea,2020-06-20,27,2020-06-21,sikjalpha
Guyana,2020-06-20,12,2020-06-21,sikjalpha
Haiti,2020-06-20,88,2020-06-21,sikjalpha
Holy See,2020-06-20,0,2020-06-21,sikjalpha
Honduras,2020-06-20,358,2020-06-21,sikjalpha
Hungary,2020-06-20,570,2020-06-21,sikjalpha
Iceland,2020-06-20,10,2020-06-21,sikjalpha
India,2020-06-20,13254,2020-06-21,sikjalpha
Indonesia,2020-06-20,2429,2020-06-21,sikjalpha
Iran,2020-06-20,9507,2020-06-21,sikjalpha
Iraq,2020-06-20,1013,2020-06-21,sikjalpha
Ireland,2020-06-20,1715,2020-06-21,sikjalpha
Israel,2020-06-20,305,2020-06-21,sikjalpha
Italy,2020-06-20,34610,2020-06-21,sikjalpha
Jamaica,2020-06-20,10,2020-06-21,sikjalpha
Japan,2020-06-20,955,2020-06-21,sikjalpha
Jordan,2020-06-20,9,2020-06-21,sikjalpha
Kazakhstan,2020-06-20,118,2020-06-21,sikjalpha
Kenya,2020-06-20,121,2020-06-21,sikjalpha
South Korea,2020-06-20,280,2020-06-21,sikjalpha
Kuwait,2020-06-20,319,2020-06-21,sikjalpha
Kyrgyzstan,2020-06-20,35,2020-06-21,sikjalpha
Latvia,2020-06-20,30,2020-06-21,sikjalpha
Lebanon,2020-06-20,32,2020-06-21,sikjalpha
Liberia,2020-06-20,33,2020-06-21,sikjalpha
Liechtenstein,2020-06-20,1,2020-06-21,sikjalpha
Lithuania,2020-06-20,76,2020-06-21,sikjalpha
Luxembourg,2020-06-20,110,2020-06-21,sikjalpha
Madagascar,2020-06-20,13,2020-06-21,sikjalpha
Malaysia,2020-06-20,121,2020-06-21,sikjalpha
Maldives,2020-06-20,8,2020-06-21,sikjalpha
Malta,2020-06-20,9,2020-06-21,sikjalpha
Mauritania,2020-06-20,108,2020-06-21,sikjalpha
Mauritius,2020-06-20,10,2020-06-21,sikjalpha
Mexico,2020-06-20,20781,2020-06-21,sikjalpha
Moldova,2020-06-20,464,2020-06-21,sikjalpha
Monaco,2020-06-20,4,2020-06-21,sikjalpha
Mongolia,2020-06-20,0,2020-06-21,sikjalpha
Montenegro,2020-06-20,9,2020-06-21,sikjalpha
Morocco,2020-06-20,213,2020-06-21,sikjalpha
Namibia,2020-06-20,0,2020-06-21,sikjalpha
Nepal,2020-06-20,22,2020-06-21,sikjalpha
Netherlands,2020-06-20,6108,2020-06-21,sikjalpha
New Zealand,2020-06-20,22,2020-06-21,sikjalpha
Nicaragua,2020-06-20,64,2020-06-21,sikjalpha
Niger,2020-06-20,67,2020-06-21,sikjalpha
Nigeria,2020-06-20,506,2020-06-21,sikjalpha
Macedonia,2020-06-20,233,2020-06-21,sikjalpha
Norway,2020-06-20,244,2020-06-21,sikjalpha
Oman,2020-06-20,128,2020-06-21,sikjalpha
Pakistan,2020-06-20,3501,2020-06-21,sikjalpha
Panama,2020-06-20,493,2020-06-21,sikjalpha
Papua New Guinea,2020-06-20,0,2020-06-21,sikjalpha
Paraguay,2020-06-20,13,2020-06-21,sikjalpha
Peru,2020-06-20,7861,2020-06-21,sikjalpha
Philippines,2020-06-20,1150,2020-06-21,sikjalpha
Poland,2020-06-20,1346,2020-06-21,sikjalpha
Portugal,2020-06-20,1528,2020-06-21,sikjalpha
Qatar,2020-06-20,94,2020-06-21,sikjalpha
Romania,2020-06-20,1500,2020-06-21,sikjalpha
Russian Federation,2020-06-20,7992,2020-06-21,sikjalpha
Rwanda,2020-06-20,2,2020-06-21,sikjalpha
Saint Lucia,2020-06-20,0,2020-06-21,sikjalpha
Saint Vincent and the Grenadines,2020-06-20,0,2020-06-21,sikjalpha
San Marino,2020-06-20,42,2020-06-21,sikjalpha
Saudi Arabia,2020-06-20,1230,2020-06-21,sikjalpha
Senegal,2020-06-20,82,2020-06-21,sikjalpha
Serbia,2020-06-20,260,2020-06-21,sikjalpha
Seychelles,2020-06-20,0,2020-06-21,sikjalpha
Singapore,2020-06-20,26,2020-06-21,sikjalpha
Slovakia,2020-06-20,28,2020-06-21,sikjalpha
Slovenia,2020-06-20,109,2020-06-21,sikjalpha
Somalia,2020-06-20,88,2020-06-21,sikjalpha
South Africa,2020-06-20,1877,2020-06-21,sikjalpha
Spain,2020-06-20,28322,2020-06-21,sikjalpha
Sri Lanka,2020-06-20,11,2020-06-21,sikjalpha
Sudan,2020-06-20,521,2020-06-21,sikjalpha
Suriname,2020-06-20,8,2020-06-21,sikjalpha
Sweden,2020-06-20,5109,2020-06-21,sikjalpha
Switzerland,2020-06-20,1956,2020-06-21,sikjalpha
Tanzania,2020-06-20,21,2020-06-21,sikjalpha
Thailand,2020-06-20,58,2020-06-21,sikjalpha
Togo,2020-06-20,13,2020-06-21,sikjalpha
Trinidad and Tobago,2020-06-20,8,2020-06-21,sikjalpha
Tunisia,2020-06-20,50,2020-06-21,sikjalpha
Turkey,2020-06-20,4927,2020-06-21,sikjalpha
Uganda,2020-06-20,0,2020-06-21,sikjalpha
Ukraine,2020-06-20,1004,2020-06-21,sikjalpha
United Arab Emirates,2020-06-20,301,2020-06-21,sikjalpha
United Kingdom,2020-06-20,42783,2020-06-21,sikjalpha
Uruguay,2020-06-20,25,2020-06-21,sikjalpha
United States,2020-06-20,120349,2020-06-21,sikjalpha
Uzbekistan,2020-06-20,19,2020-06-21,sikjalpha
Venezuela,2020-06-20,33,2020-06-21,sikjalpha
Vietnam,2020-06-20,0,2020-06-21,sikjalpha
Zambia,2020-06-20,11,2020-06-21,sikjalpha
Zimbabwe,2020-06-20,4,2020-06-21,sikjalpha
Dominica,2020-06-20,0,2020-06-21,sikjalpha
Grenada,2020-06-20,0,2020-06-21,sikjalpha
Mozambique,2020-06-20,4,2020-06-21,sikjalpha
Syria,2020-06-20,7,2020-06-21,sikjalpha
Timor-Leste,2020-06-20,0,2020-06-21,sikjalpha
Belize,2020-06-20,2,2020-06-21,sikjalpha
Laos,2020-06-20,0,2020-06-21,sikjalpha
Libya,2020-06-20,10,2020-06-21,sikjalpha
West Bank and Gaza,2020-06-20,3,2020-06-21,sikjalpha
Guinea-Bissau,2020-06-20,17,2020-06-21,sikjalpha
Mali,2020-06-20,109,2020-06-21,sikjalpha
Saint Kitts and Nevis,2020-06-20,0,2020-06-21,sikjalpha
Kosovo,2020-06-20,33,2020-06-21,sikjalpha
Myanmar,2020-06-20,6,2020-06-21,sikjalpha
MS Zaandam,2020-06-20,2,2020-06-21,sikjalpha
Botswana,2020-06-20,1,2020-06-21,sikjalpha
Burundi,2020-06-20,1,2020-06-21,sikjalpha
Sierra Leone,2020-06-20,53,2020-06-21,sikjalpha
Malawi,2020-06-20,8,2020-06-21,sikjalpha
South Sudan,2020-06-20,34,2020-06-21,sikjalpha
Western Sahara,2020-06-20,1,2020-06-21,sikjalpha
Sao Tome and Principe,2020-06-20,12,2020-06-21,sikjalpha
Yemen,2020-06-20,254,2020-06-21,sikjalpha
Washington,2020-06-20,1265,2020-06-21,sikjalpha
Illinois,2020-06-20,6625,2020-06-21,sikjalpha
California,2020-06-20,5494,2020-06-21,sikjalpha
Arizona,2020-06-20,1346,2020-06-21,sikjalpha
Massachusetts,2020-06-20,7828,2020-06-21,sikjalpha
Wisconsin,2020-06-20,744,2020-06-21,sikjalpha
Texas,2020-06-20,2183,2020-06-21,sikjalpha
Nebraska,2020-06-20,244,2020-06-21,sikjalpha
Utah,2020-06-20,155,2020-06-21,sikjalpha
Oregon,2020-06-20,189,2020-06-21,sikjalpha
Florida,2020-06-20,3144,2020-06-21,sikjalpha
New York,2020-06-20,31703,2020-06-21,sikjalpha
Rhode Island,2020-06-20,894,2020-06-21,sikjalpha
Georgia,2020-06-20,2642,2020-06-21,sikjalpha
New Hampshire,2020-06-20,339,2020-06-21,sikjalpha
North Carolina,2020-06-20,1215,2020-06-21,sikjalpha
New Jersey,2020-06-20,12924,2020-06-21,sikjalpha
Colorado,2020-06-20,1647,2020-06-21,sikjalpha
Maryland,2020-06-20,3052,2020-06-21,sikjalpha
Nevada,2020-06-20,486,2020-06-21,sikjalpha
Tennessee,2020-06-20,524,2020-06-21,sikjalpha
Hawaii,2020-06-20,17,2020-06-21,sikjalpha
Indiana,2020-06-20,2536,2020-06-21,sikjalpha
Kentucky,2020-06-20,524,2020-06-21,sikjalpha
Minnesota,2020-06-20,1404,2020-06-21,sikjalpha
Oklahoma,2020-06-20,368,2020-06-21,sikjalpha
Pennsylvania,2020-06-20,6419,2020-06-21,sikjalpha
South Carolina,2020-06-20,644,2020-06-21,sikjalpha
District of Columbia,2020-06-20,531,2020-06-21,sikjalpha
Kansas,2020-06-20,256,2020-06-21,sikjalpha
Missouri,2020-06-20,973,2020-06-21,sikjalpha
Vermont,2020-06-20,56,2020-06-21,sikjalpha
Virginia,2020-06-20,1607,2020-06-21,sikjalpha
