Country/Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
"popt=1070.125891438183^^^0.10022458990492938&c1=100,c2=0.1,c3=100000,randRate=0.25",100.0,229.39534572808253,241.99749188985905,256.6525595594038,273.6022068736403,289.1685559995753,305.37731435584027,324.7786825837436,343.98740039553275,372.69254725775676,395.1360681954423,429.87130906999715,468.86671604659625,497.84312362004664,536.0726535185513,575.0257829918088,617.9967007957587,674.229216553184,724.0004202435417,798.090800503044,861.8246273926293,954.835846165586,1059.7080632894701,1151.8405403885906,1278.3795201230998,1369.3134223415473,1489.5432869680346,1656.5063307887556,1823.3646821712239,2013.6287644027313,2174.8424806703797,2353.212550282227,2599.6064895504355,2853.892250984836,3073.3122837526944,3330.2885452901005,3621.356606146178,3921.6891459637586,4402.00097373182,4835.896636954867,5397.494471180037,5956.285226604431,6487.428940423535,7031.990185810198,7808.938062102441,8446.882321412844,9358.833426814885,10117.51931199616,11226.575712787635,12118.752459329553,13330.043376248384,14392.395091152825,15955.66869437211,17093.365354147576,18429.369801395085,19837.853381808975,21196.788888184205,22997.160614600103,24594.365911211953,26539.198273907325,28152.77698383081,30465.342663884792,32669.85670411603,34844.51508079395,37192.169888853394,39391.259233952616,41597.984559171986,44141.690055816005,46748.98969978039,49412.93907555041,51604.21128795147,54075.76022205562,57032.83069390873,59879.18233719592,62765.93392076131,64812.39230178671,67559.8987136252,69807.41472625097,72398.10957509064,74091.89080674254,76214.5439437611,77857.53485101902,79954.03780486052,81549.89613137602,83295.09309778397,84917.65542403748,86074.86543749133,87548.70103783913,89016.66679806262,90203.3262450955,91038.85130272423,91959.64444769156,92621.3602982801,93582.21986742142,94308.02237199293,95106.49073055298,95828.59173567296,96491.3253681931,97084.87196952256,97549.87846702593,97933.97275857546,98305.69935440493,98742.49954571703,99071.37331114693,99346.97538414567,99606.53259420287,99820.38638455997,100050.31976947788,100222.72578112879,100363.3447183021,100573.83727615638,100732.04141120668,100864.93972499792,100992.54583150303,101126.51718533745,101209.64153408939,101315.34856763323,101391.41899880268,101464.2590311686,101521.45482137405,101594.96104393603,101641.51689619149,101690.45826147561,101727.14420971539,101761.90951236073,101797.83076086093,101830.46183377497,101868.71818334269,101903.84891148635,101926.55576147266,101949.1886203379,101971.57059630212,101992.06316609072,102005.24144063066,102021.7866537296,102039.6039468259,102053.47280439088,102068.02995568386,102076.21445468903,102087.62865426672,102095.9702097743,102103.07040334516,102109.27029833414,102117.14813382608,102122.84505287709,102129.09228801416,102133.45711680989,102137.71313631318,102141.59009991071,102144.82353030308
"popt=1070.125891438183^^^0.10022458990492938&c1=100,c2=0.1,c3=100000,randRate=0.5",100.0,192.77289298670075,207.36416009301556,219.97896410454058,241.20800415997564,260.9055721122493,280.7258790365306,303.5124265144128,317.3672209988533,352.1186398229063,389.13089997271726,410.3508320598679,445.6496764407274,479.01212630744226,516.3117658533063,564.3420224379466,616.3561168103444,673.2986342215728,714.8699919289893,774.1863570458493,822.7760336570657,872.1255007781486,930.669496715596,1069.1077886388293,1158.865382451533,1304.159188053133,1430.878526152627,1548.6664205242655,1654.1399079411817,1812.3380009102523,1929.829499016418,2134.0615735417628,2435.6075976020807,2592.4352283375797,2953.9841161830304,3173.0957791180604,3537.488334593161,3755.8400486761084,4205.409214030661,4610.73734847016,5100.720373947794,5501.196906131576,6240.227137251274,7116.765384557268,7760.31849958342,8551.106089572782,9541.385860622398,10386.276128407684,11409.087633272056,12862.97546518411,13529.765717359884,14925.902070963677,16134.616280051301,17823.97320488708,19284.550915554144,21115.31747605737,22534.63834109523,23988.36328636386,25242.690861826803,26798.984930204704,28415.51782273928,30344.729474327705,31824.948909929844,33828.63714598737,35300.19374674058,37043.04115968331,38826.967432829144,41065.59127861625,43462.638951838155,46947.96524779826,48269.7709727741,51890.16273939571,54129.263937594595,56363.464123250895,58086.496694737594,60661.42755313061,63884.021199896284,65308.48535363448,67800.04201027312,70225.77187130782,71433.63913603382,73057.73824641186,74034.80804731739,75756.81919817734,77602.56130726039,79148.56843972189,80599.08096463964,81253.53427005374,82764.30606178874,83447.33644414776,84965.26160214441,85784.51748117202,86918.26067561566,87407.41670995491,88427.78872174754,89211.3250374637,89824.08839976836,90583.48835088496,91341.39110347266,91756.43084250091,92361.00980679945,92596.67092435724,93076.33021475314,93549.54764197838,93989.45310649821,94184.00607494367,94543.80508877755,94720.50723641233,94844.2249769794,94996.07937483395,95103.03563136986,95194.40374093283,95346.0746113303,95490.45804418603,95584.40277098947,95698.04675067663,95750.52530305716,95852.30728035452,95903.35395943643,95995.05088734467,96034.05973241216,96090.08149831841,96136.7334469208,96205.75652549544,96266.76226603649,96303.12086154414,96338.59252644295,96355.57623026907,96381.97939195196,96412.64424459149,96444.44999130552,96461.23876528587,96479.17296205134,96503.01782597956,96511.21033132604,96520.58390554161,96528.61194356496,96539.7622205237,96546.28347843846,96559.77727853952,96564.45466650005,96572.08447632703,96581.3938180415,96590.23497796673,96598.6098590855,96605.43449066012,96609.51317985092,96615.36041066033,96618.98167541018,96622.33154521786
"popt=1070.125891438183^^^0.10022458990492938&c1=100,c2=0.1,c3=100000,randRate=0.75",100.0,244.9460809968634,259.5969206742532,263.0309005180913,273.5698038032883,282.4877878292806,299.47840873924054,329.86751758609336,362.3105490770806,373.0400862561559,382.9170707883152,405.35410197587686,460.0793082378651,475.1758609754693,516.1035963750027,542.5330359590358,580.6964117031512,621.847135896812,714.6041264361925,791.2878098016356,848.6077926472899,981.6605896996319,1012.8867652033057,1072.2705817684794,1165.5835519231573,1315.6210642709423,1442.0344152629873,1621.1735395278715,1766.6305804202134,1886.0361704574466,2068.317298659659,2264.9996287795,2536.6317510594063,2855.2882000087448,3063.73277686717,3173.1807572955845,3618.122456726268,3975.62788249381,4381.969262795186,4852.499498005712,5532.059516147282,6125.128891171548,6940.662725301361,7328.646240458208,7574.239774174752,8391.682244588059,8855.802554015781,9318.075287386999,9755.524293432216,11395.648215937263,12327.958873908003,13103.771575133276,14050.350478931572,15992.86811711448,17094.402557055055,18269.454861357022,19168.248060877922,21913.261287524976,24510.54759479621,25256.662887444196,26683.008011221027,29859.376532889055,32351.73420347916,34120.09437602508,38119.63242625496,41422.18912197896,43009.02140068325,44895.19473146845,45765.4205825662,47977.80328346226,48838.74219749157,51851.684640494255,54156.30276725468,57276.950442941634,60041.93730845971,60977.23359452379,64189.75915254917,67148.18628307912,69255.5400175397,71732.68187289745,72907.38078703669,75412.16602402483,75987.85710403476,78395.28496481388,81049.41036809025,81856.4071099511,84229.56046391446,85342.09644878196,85651.77740034203,86673.78884272491,88101.15358039869,89559.92931640903,90114.71259137825,91187.08536673899,91858.41781333873,92148.17353140011,92956.06711317183,93843.11429850216,94037.83979154247,94726.4718188185,95039.99089305704,95254.860184492,95822.37877871412,96191.22276457588,96500.17373655761,96832.5350334545,97194.32489308508,97487.01057035367,97620.69166065323,97757.31175369005,97806.98302259354,97879.15022789202,98011.55513136908,98127.95209352279,98297.29333250951,98398.47601682712,98552.38504099862,98663.80271291973,98758.3120555274,98850.10134679756,98946.24961082764,99030.48574666187,99104.75077741881,99141.03570254221,99166.65807234391,99210.6072020194,99226.85220656612,99280.4790130432,99328.31857578535,99335.28502264978,99369.66739083633,99396.75062582288,99414.31096769423,99442.60058527764,99455.65493329987,99479.83736818773,99490.40851356612,99503.17425870307,99521.5171417078,99534.78918283756,99542.99624177259,99554.22295256949,99562.3410087438,99573.2564194372,99582.97319785225,99584.97450701849,99586.5299454406,99591.90175142679,99595.31791609414,99597.62106841212
"popt=1070.125891438183^^^0.10022458990492938&c1=100,c2=0.1,c3=100000,randRate=0.9",100.0,146.97805364668352,156.98855556638668,167.84080992422443,170.08176132245802,188.36321427852388,218.59669871175151,224.4891090053528,255.18539882766046,262.5319512336371,267.96329715360037,305.4087552170774,349.1627397644157,352.83800321895507,418.00834001739315,489.4775517842619,513.6389175184107,554.8501558139455,656.3255138175318,715.3019174040295,821.6253792081119,934.675581059533,1003.5986013068475,1040.8851576148559,1231.7098675338125,1355.3499445631376,1497.3509190871314,1638.5422210329855,1781.615934537149,2049.7236231239344,2352.2124153438494,2422.7397523252275,2681.925069363748,2822.6855068948003,3045.22980237781,3353.569707324403,3595.5944059504704,3724.087380740282,4217.9975964585365,4819.01295863981,5632.915684267054,6503.665088196879,7513.776598471516,7948.353694237083,8599.67637402276,9910.839843425203,10386.350542057864,11600.878424677898,12385.26467629146,14013.914284137298,15852.867157363313,17664.375789844395,17815.849858270976,17955.308838016823,20043.561937435312,20252.868677797036,21245.208935999337,24229.048084226662,27361.46963684196,28490.801327737634,29265.26773167425,31229.16108790855,34241.76162345384,35929.93463356434,39199.44824086321,40480.10258097416,43827.99706850721,44778.2299827219,48130.15377939412,49899.1406538844,52019.839449870015,54016.5733507258,57651.92018352758,60362.4213108138,63026.35445902985,65772.56082555992,69991.34545025702,71879.51394521509,72316.59188924819,74036.01124159058,77135.67936404816,80014.71946603127,80425.07113392584,80774.43397929586,83343.46092189186,86023.89902977743,88172.29008527828,88398.65750243922,89945.97845594147,91804.66892367101,92364.68179125058,94046.21469683188,94721.08436410363,96108.65865653339,96452.55899327333,96751.64041980305,97778.12369689596,98186.40773300071,98994.73318378546,99389.53295157285,100204.8602682096,100478.99863967526,100924.74824326058,101299.85435443994,101761.70751971414,102119.82876171672,102420.56915362645,102726.21155613978,102799.8085976324,102874.85799187665,103141.54296662571,103401.83058412666,103614.51706311613,103760.2845794612,103932.23740850513,103955.8701187343,104024.03952253507,104158.38798789393,104200.58886680282,104314.04459803393,104328.87376781044,104392.55156052826,104417.92254304116,104474.8654956067,104539.02255651215,104584.16169678752,104617.20135732133,104647.64364257142,104673.12821223732,104690.03272203224,104726.17859227098,104754.35600053845,104779.03282193789,104783.62138368191,104802.24572537636,104828.26312133083,104830.16556837349,104839.64125268278,104848.16590559142,104865.28221819809,104868.85050076622,104879.34162125392,104880.96585773294,104890.29662068984,104893.8159832505,104903.05785607403,104908.4046839693,104916.21270014127,104919.98625291168,104926.06058112689
"popt=1070.125891438183^^^0.10022458990492938&c1=100,c2=0.1,c3=100000,randRate=1",100.0,301.6566839025352,304.35765020701024,310.26682999196584,338.41642617966994,347.04048590989544,364.78293015537486,397.7971857079483,417.4065902102712,462.94083046062724,464.99818927646555,481.7523884178591,543.3248506528271,562.076758814886,576.2430163451087,654.4691759065231,742.1250011788663,785.6121031528761,833.9105778858807,911.4053985171793,944.8398186006825,957.5734197939482,1029.38439533687,1192.2792063405032,1288.6218968593548,1376.6964514883475,1621.8924867055798,1700.2133676675703,1894.6217279323612,2165.6803774103073,2334.132714818872,2505.6859877287056,2609.481791099368,2866.6326873125995,3007.6136672556354,3429.8720537317145,4001.1120788596522,4060.771432100427,4619.073538674725,4835.462726037326,5649.655496285932,6271.377233624457,7094.108516373848,7479.247492411431,7952.8971453738395,9183.885750898486,9672.03870102766,10745.77762998144,10993.730380915867,11981.68507158081,12287.898754135618,13087.076154224007,15318.91170078219,16353.086468766109,17782.446074639556,20095.437030884794,22503.26552532648,23751.61570961974,25732.468752029985,27263.080754814546,27909.647222044347,28472.42738399662,28646.037486669422,32078.554922173935,34025.21925444857,35320.858336603116,38665.177734440935,39746.877967541375,40253.671608183606,44661.89819369163,47760.2287982551,49140.13843773131,52445.56382495435,57171.748527060205,57293.56636828242,61914.727830535674,63587.298828126965,67843.6320118678,70762.29614221558,74001.83130864231,76806.66227560547,79652.00925780434,82048.75122285468,83529.87122617055,83842.14697176969,85522.104891891,87549.72182623333,89802.27934288021,89841.55086965271,90995.82091615575,91363.93615820266,92092.30681038118,92539.32702962932,93808.22611011387,93976.95041599589,94982.92250979753,94983.11317125623,95388.72492738208,96160.40488869372,96242.14078391864,96327.0534842146,96596.19910964395,97026.11509426036,97137.41659182913,97727.63752560636,97944.02736196376,98106.5386477091,98325.91727275081,98702.04580479956,98954.39921665707,99198.21008856046,99365.81430034181,99460.46017079863,99706.85235938999,99799.15511351424,99912.14778838416,100062.48863897056,100198.89443705286,100205.13899265305,100213.97405388628,100221.75870584534,100297.29016738913,100373.61317635457,100397.75954521875,100483.24797081086,100504.16770572902,100526.98896952136,100562.52244490721,100619.6000400179,100648.83941852805,100651.34875882808,100671.87049307094,100703.66409064585,100711.50931862416,100725.30443599175,100730.02059680657,100733.07137903177,100748.02474216609,100761.02883449369,100772.57709885784,100786.50066462066,100800.36372555947,100805.01796318311,100805.67922028196,100809.52442199357,100815.29169748847,100823.6496133015,100828.5548610365,100833.5990389399,100837.22453929122
